imei,tac,manufacturer,model,status,generated_date
013263000141577,01326300,Apple,iPhone 4,allowed,2025-08-13 18:37:23
013263000085753,01326300,Apple,iPhone 4,allowed,2025-08-13 18:37:23
013345000216766,01334500,Apple,iPhone 5,blacklisted,2025-08-13 18:37:23
013345000101336,01334500,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013346000040981,01334600,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013346000149561,01334600,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013350000250836,01335000,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013350000133848,01335000,Apple,iPhone 5,blacklisted,2025-08-13 18:37:23
013351000128611,01335100,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013351000324962,01335100,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013403000289366,01340300,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013403000036219,01340300,Apple,iPhone 5,blacklisted,2025-08-13 18:37:23
013404000237705,01340400,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013404000126905,01340400,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013411000151227,01341100,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013411000184317,01341100,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013414000098989,01341400,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013414000264022,01341400,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013417000237194,01341700,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013417000098138,01341700,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013418000250630,01341800,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013418000270119,01341800,Apple,iPhone 5,allowed,2025-08-13 18:37:23
013420000236252,01342000,Apple,iPhone 5,allowed,2025-08-13 18:37:24
013420000041792,01342000,Apple,iPhone 5,allowed,2025-08-13 18:37:24
013421000283878,01342100,Apple,iPhone 5,blacklisted,2025-08-13 18:37:24
013421000270301,01342100,Apple,iPhone 5,blacklisted,2025-08-13 18:37:24
013422000284849,01342200,Apple,iPhone 5,allowed,2025-08-13 18:37:24
013422000124255,01342200,Apple,iPhone 5,allowed,2025-08-13 18:37:24
013438000114543,01343800,Apple,iPhone 5,allowed,2025-08-13 18:37:24
013438000170973,01343800,Apple,iPhone 5,allowed,2025-08-13 18:37:24
013441000042215,01344100,Apple,iPhone 5,allowed,2025-08-13 18:37:24
013441000003953,01344100,Apple,iPhone 5,blacklisted,2025-08-13 18:37:24
013551000200371,01355100,Apple,iPhone 5,allowed,2025-08-13 18:37:24
013551000133499,01355100,Apple,iPhone 5,blacklisted,2025-08-13 18:37:24
013556000160668,01355600,Apple,iPhone 5,allowed,2025-08-13 18:37:24
013556000240127,01355600,Apple,iPhone 5,allowed,2025-08-13 18:37:24
013619000301191,01361900,Apple,iPhone 5,blacklisted,2025-08-13 18:37:24
013619000324639,01361900,Apple,iPhone 5,allowed,2025-08-13 18:37:24
013625000114840,01362500,Apple,iPhone 5,blacklisted,2025-08-13 18:37:24
013625000211263,01362500,Apple,iPhone 5,allowed,2025-08-13 18:37:24
013631000090608,01363100,Apple,iPhone 5,allowed,2025-08-13 18:37:24
013631000145435,01363100,Apple,iPhone 5,blacklisted,2025-08-13 18:37:24
357932000001220,35793200,Nokia,6600,allowed,2025-08-13 18:37:24
357932000145655,35793200,Nokia,6600,allowed,2025-08-13 18:37:24
357952000144054,35795200,Nokia,6600,allowed,2025-08-13 18:37:24
357952000032433,35795200,Nokia,6600,allowed,2025-08-13 18:37:24
358817000162170,35881700,Nokia,6600,allowed,2025-08-13 18:37:24
358817000095458,35881700,Nokia,6600,allowed,2025-08-13 18:37:24
359365000260674,35936500,Nokia,6600,allowed,2025-08-13 18:37:24
359365000285130,35936500,Nokia,6600,allowed,2025-08-13 18:37:24
352272010031464,35227201,Nokia,6600,allowed,2025-08-13 18:37:24
352272010018069,35227201,Nokia,6600,allowed,2025-08-13 18:37:24
357070000079746,35707000,Nokia,6600,blacklisted,2025-08-13 18:37:24
357070000325383,35707000,Nokia,6600,allowed,2025-08-13 18:37:24
359732000148133,35973200,Nokia,6600,blacklisted,2025-08-13 18:37:24
359732000200263,35973200,Nokia,6600,allowed,2025-08-13 18:37:24
352273010320098,35227301,Nokia,6600,allowed,2025-08-13 18:37:24
352273010022099,35227301,Nokia,6600,allowed,2025-08-13 18:37:24
352274010249898,35227401,Nokia,6600,allowed,2025-08-13 18:37:24
352274010185466,35227401,Nokia,6600,allowed,2025-08-13 18:37:24
353659010107936,35365901,Nokia,E90,allowed,2025-08-13 18:37:24
353659010121670,35365901,Nokia,E90,blacklisted,2025-08-13 18:37:24
353660010246221,35366001,Nokia,E90,allowed,2025-08-13 18:37:24
353660010093225,35366001,Nokia,E90,allowed,2025-08-13 18:37:24
352071020053487,35207102,Nokia,E90,blacklisted,2025-08-13 18:37:24
352071020202496,35207102,Nokia,E90,allowed,2025-08-13 18:37:24
356246000043991,35624600,Nokia,9300i,allowed,2025-08-13 18:37:24
356246000312352,35624600,Nokia,9300i,allowed,2025-08-13 18:37:24
356247000200524,35624700,Nokia,9300i,blacklisted,2025-08-13 18:37:24
356247000148477,35624700,Nokia,9300i,allowed,2025-08-13 18:37:24
356248000010792,35624800,Nokia,9300i,allowed,2025-08-13 18:37:24
356248000232990,35624800,Nokia,9300i,allowed,2025-08-13 18:37:24
353975010212016,35397501,Nokia,1965HSD,allowed,2025-08-13 18:37:24
353975010311748,35397501,Nokia,1965HSD,allowed,2025-08-13 18:37:24
352763010231752,35276301,Nokia,1965HSD,allowed,2025-08-13 18:37:24
352763010293837,35276301,Nokia,1965HSD,allowed,2025-08-13 18:37:24
357623000105906,35762300,Nokia,3220,allowed,2025-08-13 18:37:24
357623000239086,35762300,Nokia,3220,allowed,2025-08-13 18:37:24
357938000150866,35793800,Nokia,3220,allowed,2025-08-13 18:37:24
357938000186221,35793800,Nokia,3220,blacklisted,2025-08-13 18:37:24
357962000126937,35796200,Nokia,3220,allowed,2025-08-13 18:37:24
357962000204718,35796200,Nokia,3220,allowed,2025-08-13 18:37:24
358372000087892,35837200,Nokia,3220,allowed,2025-08-13 18:37:25
358372000136269,35837200,Nokia,3220,allowed,2025-08-13 18:37:25
358392000112156,35839200,Nokia,3220,allowed,2025-08-13 18:37:25
358392000149411,35839200,Nokia,3220,allowed,2025-08-13 18:37:25
358384000091856,35838400,Nokia,3220,allowed,2025-08-13 18:37:25
358384000180064,35838400,Nokia,3220,allowed,2025-08-13 18:37:25
358805000057289,35880500,Nokia,3220,allowed,2025-08-13 18:37:25
358805000275169,35880500,Nokia,3220,allowed,2025-08-13 18:37:25
359360000001058,35936000,Nokia,3220,allowed,2025-08-13 18:37:25
359360000188561,35936000,Nokia,3220,blacklisted,2025-08-13 18:37:25
359396000142289,35939600,Nokia,3220,blacklisted,2025-08-13 18:37:25
359396000026841,35939600,Nokia,3220,allowed,2025-08-13 18:37:25
351860010217656,35186001,Nokia,3220,allowed,2025-08-13 18:37:25
351860010020911,35186001,Nokia,3220,allowed,2025-08-13 18:37:25
352737010067558,35273701,Nokia,3220,allowed,2025-08-13 18:37:25
352737010154892,35273701,Nokia,3220,allowed,2025-08-13 18:37:25
356279010212744,35627901,Nokia,3220,allowed,2025-08-13 18:37:25
356279010305092,35627901,Nokia,3220,allowed,2025-08-13 18:37:25
357611000060431,35761100,Nokia,3220,blacklisted,2025-08-13 18:37:25
357611000023730,35761100,Nokia,3220,allowed,2025-08-13 18:37:25
359359000006804,35935900,Nokia,3220,allowed,2025-08-13 18:37:25
359359000202094,35935900,Nokia,3220,allowed,2025-08-13 18:37:25
352254010100113,35225401,Nokia,3220,allowed,2025-08-13 18:37:25
352254010057946,35225401,Nokia,3220,allowed,2025-08-13 18:37:25
354541010052557,35454101,Nokia,3220,allowed,2025-08-13 18:37:25
354541010260895,35454101,Nokia,3220,allowed,2025-08-13 18:37:25
358390000046621,35839000,Nokia,7610,allowed,2025-08-13 18:37:25
358390000104087,35839000,Nokia,7610,allowed,2025-08-13 18:37:25
359757000150058,35975700,Nokia,7610,allowed,2025-08-13 18:37:25
359757000266335,35975700,Nokia,7610,allowed,2025-08-13 18:37:25
355371000207992,35537100,Nokia,7610,allowed,2025-08-13 18:37:25
355371000013567,35537100,Nokia,7610,allowed,2025-08-13 18:37:25
353270010040999,35327001,Nokia,7610,allowed,2025-08-13 18:37:25
353270010143058,35327001,Nokia,7610,allowed,2025-08-13 18:37:25
354813010260208,35481301,Nokia,7610,allowed,2025-08-13 18:37:25
354813010074482,35481301,Nokia,7610,allowed,2025-08-13 18:37:25
354844010148245,35484401,Nokia,7610,allowed,2025-08-13 18:37:25
354844010276267,35484401,Nokia,7610,allowed,2025-08-13 18:37:25
356965010136988,35696501,Nokia,7610,allowed,2025-08-13 18:37:25
356965010117491,35696501,Nokia,7610,allowed,2025-08-13 18:37:25
359555010183971,35955501,Nokia,7610,allowed,2025-08-13 18:37:25
359555010126338,35955501,Nokia,7610,allowed,2025-08-13 18:37:25
356635000195898,35663500,Nokia,1600,blacklisted,2025-08-13 18:37:25
356635000003131,35663500,Nokia,1600,allowed,2025-08-13 18:37:25
358382000069972,35838200,Nokia,1600,allowed,2025-08-13 18:37:25
358382000274296,35838200,Nokia,1600,allowed,2025-08-13 18:37:25
358383000291436,35838300,Nokia,1600,allowed,2025-08-13 18:37:25
358383000069962,35838300,Nokia,1600,allowed,2025-08-13 18:37:25
358355000107933,35835500,Nokia,1600,allowed,2025-08-13 18:37:25
358355000082852,35835500,Nokia,1600,blacklisted,2025-08-13 18:37:25
358822000013799,35882200,Nokia,1600,allowed,2025-08-13 18:37:26
358822000305199,35882200,Nokia,1600,allowed,2025-08-13 18:37:26
358836000192661,35883600,Nokia,1600,allowed,2025-08-13 18:37:26
358836000249405,35883600,Nokia,1600,blacklisted,2025-08-13 18:37:26
359353000309859,35935300,Nokia,1600,allowed,2025-08-13 18:37:26
359353000152919,35935300,Nokia,1600,allowed,2025-08-13 18:37:26
359354000014738,35935400,Nokia,1600,allowed,2025-08-13 18:37:26
359354000279729,35935400,Nokia,1600,allowed,2025-08-13 18:37:26
359375000049359,35937500,Nokia,1600,allowed,2025-08-13 18:37:26
359375000251405,35937500,Nokia,1600,blacklisted,2025-08-13 18:37:26
359379000208272,35937900,Nokia,1600,allowed,2025-08-13 18:37:26
359379000183155,35937900,Nokia,1600,allowed,2025-08-13 18:37:26
359383000185068,35938300,Nokia,1600,allowed,2025-08-13 18:37:26
359383000302253,35938300,Nokia,1600,allowed,2025-08-13 18:37:26
359384000012805,35938400,Nokia,1600,allowed,2025-08-13 18:37:26
359384000324238,35938400,Nokia,1600,allowed,2025-08-13 18:37:26
359385000049801,35938500,Nokia,1600,allowed,2025-08-13 18:37:26
359385000265719,35938500,Nokia,1600,allowed,2025-08-13 18:37:26
359386000083399,35938600,Nokia,1600,blacklisted,2025-08-13 18:37:26
359386000105222,35938600,Nokia,1600,allowed,2025-08-13 18:37:26
359388000247602,35938800,Nokia,1600,blacklisted,2025-08-13 18:37:26
359388000161828,35938800,Nokia,1600,allowed,2025-08-13 18:37:26
351866010023486,35186601,Nokia,1600,allowed,2025-08-13 18:37:26
351866010170806,35186601,Nokia,1600,allowed,2025-08-13 18:37:26
351867010295949,35186701,Nokia,1600,allowed,2025-08-13 18:37:26
351867010327442,35186701,Nokia,1600,blacklisted,2025-08-13 18:37:26
351890010130253,35189001,Nokia,1600,allowed,2025-08-13 18:37:26
351890010285112,35189001,Nokia,1600,blacklisted,2025-08-13 18:37:26
351891010091231,35189101,Nokia,1600,allowed,2025-08-13 18:37:26
351891010322722,35189101,Nokia,1600,blacklisted,2025-08-13 18:37:26
351898010214085,35189801,Nokia,1600,allowed,2025-08-13 18:37:26
351898010072683,35189801,Nokia,1600,allowed,2025-08-13 18:37:26
352739010198200,35273901,Nokia,1600,allowed,2025-08-13 18:37:26
352739010169928,35273901,Nokia,1600,allowed,2025-08-13 18:37:26
359377000246571,35937700,Nokia,1600,blacklisted,2025-08-13 18:37:26
359377000159656,35937700,Nokia,1600,allowed,2025-08-13 18:37:26
353265010282136,35326501,Nokia,1600,blacklisted,2025-08-13 18:37:26
353265010175458,35326501,Nokia,1600,allowed,2025-08-13 18:37:26
353649010206074,35364901,Nokia,1600,allowed,2025-08-13 18:37:26
353649010160639,35364901,Nokia,1600,blacklisted,2025-08-13 18:37:26
353650010185271,35365001,Nokia,1600,allowed,2025-08-13 18:37:26
353650010311688,35365001,Nokia,1600,allowed,2025-08-13 18:37:26
353651010033737,35365101,Nokia,1600,allowed,2025-08-13 18:37:26
353651010320551,35365101,Nokia,1600,allowed,2025-08-13 18:37:26
353652010095688,35365201,Nokia,1600,allowed,2025-08-13 18:37:26
353652010095303,35365201,Nokia,1600,blacklisted,2025-08-13 18:37:27
353658010254509,35365801,Nokia,1600,allowed,2025-08-13 18:37:27
353658010284451,35365801,Nokia,1600,allowed,2025-08-13 18:37:27
353951010013578,35395101,Nokia,1600,allowed,2025-08-13 18:37:27
353951010116235,35395101,Nokia,1600,allowed,2025-08-13 18:37:27
354534010070046,35453401,Nokia,1600,allowed,2025-08-13 18:37:27
354534010139731,35453401,Nokia,1600,blacklisted,2025-08-13 18:37:27
354536010145367,35453601,Nokia,1600,allowed,2025-08-13 18:37:27
354536010178296,35453601,Nokia,1600,allowed,2025-08-13 18:37:27
354555010106431,35455501,Nokia,1600,allowed,2025-08-13 18:37:27
354555010099430,35455501,Nokia,1600,allowed,2025-08-13 18:37:27
354574010290041,35457401,Nokia,1600,blacklisted,2025-08-13 18:37:27
354574010219334,35457401,Nokia,1600,allowed,2025-08-13 18:37:27
354810010118740,35481001,Nokia,1600,allowed,2025-08-13 18:37:27
354810010094249,35481001,Nokia,1600,allowed,2025-08-13 18:37:27
354836010079042,35483601,Nokia,1600,allowed,2025-08-13 18:37:27
354836010257340,35483601,Nokia,1600,allowed,2025-08-13 18:37:27
355507010201510,35550701,Nokia,1600,allowed,2025-08-13 18:37:27
355507010119067,35550701,Nokia,1600,blacklisted,2025-08-13 18:37:27
355508010080579,35550801,Nokia,1600,allowed,2025-08-13 18:37:27
355508010304793,35550801,Nokia,1600,allowed,2025-08-13 18:37:27
355517010149746,35551701,Nokia,1600,allowed,2025-08-13 18:37:27
355517010209324,35551701,Nokia,1600,allowed,2025-08-13 18:37:27
355518010044368,35551801,Nokia,1600,allowed,2025-08-13 18:37:27
355518010324314,35551801,Nokia,1600,allowed,2025-08-13 18:37:27
355526010153622,35552601,Nokia,1600,allowed,2025-08-13 18:37:27
355526010265119,35552601,Nokia,1600,allowed,2025-08-13 18:37:27
355540010236803,35554001,Nokia,1600,allowed,2025-08-13 18:37:27
355540010029635,35554001,Nokia,1600,allowed,2025-08-13 18:37:27
356272010117373,35627201,Nokia,1600,allowed,2025-08-13 18:37:27
356272010131785,35627201,Nokia,1600,allowed,2025-08-13 18:37:27
356280010152654,35628001,Nokia,1600,allowed,2025-08-13 18:37:27
356280010295787,35628001,Nokia,1600,allowed,2025-08-13 18:37:27
356413010118782,35641301,Nokia,1600,allowed,2025-08-13 18:37:27
356413010220331,35641301,Nokia,1600,allowed,2025-08-13 18:37:27
356415010072846,35641501,Nokia,1600,allowed,2025-08-13 18:37:27
356415010129625,35641501,Nokia,1600,allowed,2025-08-13 18:37:27
356423010062269,35642301,Nokia,1600,allowed,2025-08-13 18:37:27
356423010113874,35642301,Nokia,1600,allowed,2025-08-13 18:37:27
356426010022274,35642601,Nokia,1600,blacklisted,2025-08-13 18:37:27
356426010052918,35642601,Nokia,1600,allowed,2025-08-13 18:37:27
356444010115332,35644401,Nokia,1600,blacklisted,2025-08-13 18:37:27
356444010281189,35644401,Nokia,1600,allowed,2025-08-13 18:37:27
356445010275079,35644501,Nokia,1600,allowed,2025-08-13 18:37:27
356445010188262,35644501,Nokia,1600,allowed,2025-08-13 18:37:27
356446010038913,35644601,Nokia,1600,allowed,2025-08-13 18:37:27
356446010084729,35644601,Nokia,1600,allowed,2025-08-13 18:37:27
356957010242854,35695701,Nokia,1600,allowed,2025-08-13 18:37:27
356957010152013,35695701,Nokia,1600,allowed,2025-08-13 18:37:27
356977010136706,35697701,Nokia,1600,allowed,2025-08-13 18:37:27
356977010234967,35697701,Nokia,1600,allowed,2025-08-13 18:37:27
356978010033987,35697801,Nokia,1600,allowed,2025-08-13 18:37:28
356978010293679,35697801,Nokia,1600,allowed,2025-08-13 18:37:28
356988010271520,35698801,Nokia,1600,allowed,2025-08-13 18:37:28
356988010207495,35698801,Nokia,1600,allowed,2025-08-13 18:37:28
357679010081167,35767901,Nokia,1600,allowed,2025-08-13 18:37:28
357679010251820,35767901,Nokia,1600,allowed,2025-08-13 18:37:28
358073010209841,35807301,Nokia,1600,allowed,2025-08-13 18:37:28
358073010211534,35807301,Nokia,1600,allowed,2025-08-13 18:37:28
358077010088193,35807701,Nokia,1600,allowed,2025-08-13 18:37:28
358077010254217,35807701,Nokia,1600,allowed,2025-08-13 18:37:28
358629010191190,35862901,Nokia,1600,allowed,2025-08-13 18:37:28
358629010266092,35862901,Nokia,1600,allowed,2025-08-13 18:37:28
358635010290646,35863501,Nokia,1600,blacklisted,2025-08-13 18:37:28
358635010075282,35863501,Nokia,1600,allowed,2025-08-13 18:37:28
358639010284917,35863901,Nokia,1600,allowed,2025-08-13 18:37:28
358639010265812,35863901,Nokia,1600,allowed,2025-08-13 18:37:28
358958010166833,35895801,Nokia,1600,allowed,2025-08-13 18:37:28
358958010065826,35895801,Nokia,1600,allowed,2025-08-13 18:37:28
358959010162925,35895901,Nokia,1600,allowed,2025-08-13 18:37:28
358959010124977,35895901,Nokia,1600,allowed,2025-08-13 18:37:28
358969010243392,35896901,Nokia,1600,allowed,2025-08-13 18:37:28
358969010116421,35896901,Nokia,1600,allowed,2025-08-13 18:37:28
358980010104117,35898001,Nokia,1600,allowed,2025-08-13 18:37:28
358980010107203,35898001,Nokia,1600,allowed,2025-08-13 18:37:28
358986010292202,35898601,Nokia,1600,allowed,2025-08-13 18:37:28
358986010030771,35898601,Nokia,1600,allowed,2025-08-13 18:37:28
358993010070817,35899301,Nokia,1600,allowed,2025-08-13 18:37:28
358993010145836,35899301,Nokia,1600,allowed,2025-08-13 18:37:28
359543010257405,35954301,Nokia,1600,allowed,2025-08-13 18:37:28
359543010187446,35954301,Nokia,1600,allowed,2025-08-13 18:37:28
359806010303973,35980601,Nokia,1600,allowed,2025-08-13 18:37:28
359806010085101,35980601,Nokia,1600,blacklisted,2025-08-13 18:37:28
359837010221957,35983701,Nokia,1600,blacklisted,2025-08-13 18:37:28
359837010106966,35983701,Nokia,1600,allowed,2025-08-13 18:37:28
359838010085915,35983801,Nokia,1600,allowed,2025-08-13 18:37:28
359838010122064,35983801,Nokia,1600,allowed,2025-08-13 18:37:28
352038020075134,35203802,Nokia,1600,allowed,2025-08-13 18:37:29
352038020050133,35203802,Nokia,1600,allowed,2025-08-13 18:37:29
352049020152422,35204902,Nokia,1600,allowed,2025-08-13 18:37:29
352049020247303,35204902,Nokia,1600,allowed,2025-08-13 18:37:29
352060020131814,35206002,Nokia,1600,allowed,2025-08-13 18:37:29
352060020164798,35206002,Nokia,1600,allowed,2025-08-13 18:37:29
353078020188235,35307802,Nokia,1600,blacklisted,2025-08-13 18:37:29
353078020094461,35307802,Nokia,1600,blacklisted,2025-08-13 18:37:29
359729000014870,35972900,Nokia,6670,allowed,2025-08-13 18:37:29
359729000067377,35972900,Nokia,6670,allowed,2025-08-13 18:37:29
359753000010980,35975300,Nokia,6670,allowed,2025-08-13 18:37:29
359753000326952,35975300,Nokia,6670,allowed,2025-08-13 18:37:29
359730000306598,35973000,Nokia,6670b,blacklisted,2025-08-13 18:37:29
359730000186343,35973000,Nokia,6670b,allowed,2025-08-13 18:37:29
356636000288467,35663600,Nokia,1110,allowed,2025-08-13 18:37:29
356636000166455,35663600,Nokia,1110,allowed,2025-08-13 18:37:29
358377000241373,35837700,Nokia,1110,allowed,2025-08-13 18:37:29
358377000097494,35837700,Nokia,1110,allowed,2025-08-13 18:37:29
358380000291634,35838000,Nokia,1110,allowed,2025-08-13 18:37:29
358380000197149,35838000,Nokia,1110,blacklisted,2025-08-13 18:37:29
358837000318758,35883700,Nokia,1110,allowed,2025-08-13 18:37:29
358837000129784,35883700,Nokia,1110,allowed,2025-08-13 18:37:29
359352000039483,35935200,Nokia,1110,blacklisted,2025-08-13 18:37:29
359352000203223,35935200,Nokia,1110,allowed,2025-08-13 18:37:29
359389000208207,35938900,Nokia,1110,allowed,2025-08-13 18:37:29
359389000176125,35938900,Nokia,1110,allowed,2025-08-13 18:37:29
359391000135826,35939100,Nokia,1110,allowed,2025-08-13 18:37:29
359391000221689,35939100,Nokia,1110,allowed,2025-08-13 18:37:29
359760000325516,35976000,Nokia,1110,allowed,2025-08-13 18:37:29
359760000003864,35976000,Nokia,1110,blacklisted,2025-08-13 18:37:29
359761000134473,35976100,Nokia,1110,allowed,2025-08-13 18:37:29
359761000086710,35976100,Nokia,1110,blacklisted,2025-08-13 18:37:29
351876010098769,35187601,Nokia,1110,allowed,2025-08-13 18:37:29
351876010042800,35187601,Nokia,1110,allowed,2025-08-13 18:37:29
351877010291219,35187701,Nokia,1110,allowed,2025-08-13 18:37:29
351877010047528,35187701,Nokia,1110,allowed,2025-08-13 18:37:29
352282010264406,35228201,Nokia,1110,blacklisted,2025-08-13 18:37:29
352282010165362,35228201,Nokia,1110,allowed,2025-08-13 18:37:29
352289010325610,35228901,Nokia,1110,allowed,2025-08-13 18:37:29
352289010292931,35228901,Nokia,1110,allowed,2025-08-13 18:37:29
352296010306838,35229601,Nokia,1110,allowed,2025-08-13 18:37:29
352296010131198,35229601,Nokia,1110,allowed,2025-08-13 18:37:29
352297010128138,35229701,Nokia,1110,allowed,2025-08-13 18:37:29
352297010064116,35229701,Nokia,1110,allowed,2025-08-13 18:37:29
359766000266860,35976600,Nokia,1110,allowed,2025-08-13 18:37:29
359766000131033,35976600,Nokia,1110,allowed,2025-08-13 18:37:29
